,URL,Name,Exists,Main Genre,Second Genre,url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
26,https:/scratch.mit.edu/projects/215828354/editor/,Austin & Clarence.sb3,False,Simulation,Decision Making,,Austin & Clarence.sb3,24,3,3,4,2,2,2,4,3,1,0,0,0,1,,Default,18,3,3,3,2,2,2,3,159
27,https:/scratch.mit.edu/projects/129132173/editor/,Avery's Life.sb3,False,Action,Swipe Elimination,,Avery's Life.sb3,20,1,4,1,3,2,2,4,2,1,4,7,4,1,,Default,15,1,3,1,3,2,2,3,355
28,https:/scratch.mit.edu/projects/210544376/editor/,Avoid the clothes.sb3,False,Unplayable,nan,,Avoid the clothes.sb3,12,1,1,1,1,2,2,2,0,2,4,0,2,2,,Default,10,1,1,1,1,2,2,2,543
29,https:/scratch.mit.edu/projects/216047108/editor/,Balancing Temperature.sb3,False,Quiz,nan,,Balancing Temperature.sb3,22,1,4,1,3,2,2,4,2,3,0,0,2,13,,Default,15,1,3,1,3,2,2,3,333
30,https:/scratch.mit.edu/projects/218191766/editor/,Be Green ($) or Be Clean (environmentally speaking).sb3,False,,,,Be Green ($) or Be Clean (environmentally speaking).sb3,17,3,4,0,2,2,2,1,0,3,2,1,0,1,,Default,13,3,3,0,2,2,2,1,304
31,https:/scratch.mit.edu/projects/216061437/editor/,Beat the Robot.sb3,False,Action,Maze,,Beat the Robot.sb3,20,1,4,1,3,2,2,4,2,1,0,0,1,0,,Default,15,1,3,1,3,2,2,3,64
32,https:/scratch.mit.edu/projects/213635263/editor/,Becca and Alana Climate change.sb3,False,Action,Clicker,,Becca and Alana Climate change.sb3,22,1,4,1,3,2,2,4,2,3,0,0,62,0,,Default,15,1,3,1,3,2,2,3,715
33,https:/scratch.mit.edu/projects/215479903/editor/,Become the Best Lumberjack.sb3,False,Action,Swipe Elimination,,Become the Best Lumberjack.sb3,22,1,4,1,3,2,4,4,2,1,15,0,9,0,,Default,16,1,3,1,3,2,3,3,353
34,https:/scratch.mit.edu/projects/210544292/editor/,Bikes over cars.sb3,False,,,,Bikes over cars.sb3,23,2,4,1,3,2,2,4,2,3,4,0,0,0,,Default,16,2,3,1,3,2,2,3,660
35,https:/scratch.mit.edu/projects/165214166/editor/,Boo teaches Pietro about Climate Change.sb3,False,Simulation,RPG,,Boo teaches Pietro about Climate Change.sb3,15,1,2,2,1,1,2,4,2,0,0,3,1,1,,Default,12,1,2,2,1,1,2,3,69
36,https:/scratch.mit.edu/projects/213212821/editor/,Brendan and Hallel.sb3,False,Action,Clicker,,Brendan and Hallel.sb3,21,1,2,1,3,3,2,4,2,3,0,0,9,3,,Default,15,1,2,1,3,3,2,3,371
37,https:/scratch.mit.edu/projects/218377291/editor/,Brendan and Nathan's project.sb3,False,,,,Brendan and Nathan's project.sb3,21,1,4,1,4,2,3,4,2,0,4,0,0,28,,Default,16,1,3,1,3,2,3,3,467
38,https:/scratch.mit.edu/projects/213225568/editor/,Brian and Kyle.sb3,False,Strategy,City-Building,,Brian and Kyle.sb3,31,4,4,4,4,3,3,4,2,3,2,2,6,1,,Default,21,3,3,3,3,3,3,3,350
